Idx,SubDiv,Point,Succ. Approached,Error
0,0,"[-0.44, -0.0413, 1.2043]",0,No execution tried yet
1,0,"[-0.2087, -0.1843, 0.83]",0,No execution tried yet
2,0,"[-0.0657, 0.19, 1.0613]",0,No execution tried yet
3,0,"[-0.2087, 0.5643, 0.83]",0,No execution tried yet
4,0,"[-0.44, 0.4213, 1.2043]",0,No execution tried yet
5,0,"[-0.6713, 0.5643, 0.83]",0,No execution tried yet
6,0,"[-0.8143, 0.19, 1.0613]",0,No execution tried yet
7,0,"[-0.6713, -0.1843, 0.83]",0,No execution tried yet
8,1,"[-0.2087, -0.1843, 0.83]",0,No execution tried yet
9,1,"[-0.0657, 0.19, 1.0613]",0,No execution tried yet
10,1,"[-0.2087, 0.5643, 0.83]",0,No execution tried yet
11,1,"[-0.44, 0.4213, 1.2043]",0,No execution tried yet
12,1,"[-0.6713, 0.5643, 0.83]",0,No execution tried yet
13,1,"[-0.8143, 0.19, 1.0613]",0,No execution tried yet
14,1,"[-0.6713, -0.1843, 0.83]",0,No execution tried yet
15,2,"[-0.3512, -0.241, 0.83]",0,No execution tried yet
16,2,"[-0.3512, -0.1312, 1.1173]",0,No execution tried yet
17,2,"[-0.2624, -0.1861, 0.9737]",0,No execution tried yet
18,2,"[-0.2087, -0.1843, 0.83]",0,No execution tried yet
19,2,"[-0.2963, 0.0124, 1.2061]",0,No execution tried yet
20,2,"[-0.186, -0.064, 1.084]",0,No execution tried yet
21,2,"[-0.1188, -0.0973, 0.9188]",0,No execution tried yet
22,2,"[-0.0639, 0.0463, 1.0076]",0,No execution tried yet
23,2,"[-0.029, 0.033, 0.83]",0,No execution tried yet
24,2,"[-0.1527, 0.1012, 1.1512]",0,No execution tried yet
25,2,"[-0.0657, 0.19, 1.0613]",0,No execution tried yet
26,2,"[-0.009, 0.19, 0.9188]",0,No execution tried yet
27,2,"[-0.283, 0.19, 1.241]",0,No execution tried yet
28,2,"[-0.1527, 0.2788, 1.1512]",0,No execution tried yet
