Idx,SubDiv,Point,Succ. Approached,Error
0,0,"[0.25, -0.6051, 1.5701]",0,No execution tried yet
1,0,"[0.3551, -0.6701, 1.4]",0,No execution tried yet
2,0,"[0.4201, -0.5, 1.5051]",0,No execution tried yet
3,0,"[0.3551, -0.3299, 1.4]",0,No execution tried yet
4,0,"[0.25, -0.3949, 1.5701]",0,No execution tried yet
5,0,"[0.1449, -0.3299, 1.4]",0,No execution tried yet
6,0,"[0.0799, -0.5, 1.5051]",0,No execution tried yet
7,0,"[0.1449, -0.6701, 1.4]",0,No execution tried yet
8,1,"[0.35, -0.4382, 1.5618]",0,No execution tried yet
9,1,"[0.4118, -0.4, 1.4618]",0,No execution tried yet
10,1,"[0.3551, -0.3299, 1.4]",0,No execution tried yet
11,1,"[0.3118, -0.3382, 1.5]",0,No execution tried yet
12,1,"[0.25, -0.3949, 1.5701]",0,No execution tried yet
13,1,"[0.25, -0.5, 1.6]",0,No execution tried yet
14,1,"[0.25, -0.3, 1.4]",0,No execution tried yet
15,1,"[0.1882, -0.3382, 1.5]",0,No execution tried yet
16,1,"[0.1449, -0.3299, 1.4]",0,No execution tried yet
17,1,"[0.0882, -0.4, 1.4618]",0,No execution tried yet
18,1,"[0.15, -0.4382, 1.5618]",0,No execution tried yet
19,1,"[0.0799, -0.5, 1.5051]",0,No execution tried yet
20,1,"[0.05, -0.5, 1.4]",0,No execution tried yet
21,1,"[0.15, -0.5618, 1.5618]",0,No execution tried yet
22,1,"[0.0882, -0.6, 1.4618]",0,No execution tried yet
23,1,"[0.1449, -0.6701, 1.4]",0,No execution tried yet
24,1,"[0.1882, -0.6618, 1.5]",0,No execution tried yet
